VVV:1&2
Liefdeszuster:3
Nassau Baronie Monument:4
The Light House:5
Kasteel van Breda:9
Stadhouderspoort:11
Huis van Brecht (rechter zijde):7
Spanjaardsgat (rechter zijde):6&14&22&21
Begin Vismarkt:20
Begin Havermarkt:19
Grote Kerk:10
Grote Markt:17
Bevrijdingsmonument:24&25
Chasse theater:27
Het Poortje:26
Stadhuis:28
Antonius van Paduakerk:29
Bibliotheek:30
Kloosterkazerne:31
Binding van Isaac:32
Beyerd:33&34
Willem Merkxtuin:35
Begijnenhof:36
